id	name	dateText	dateStart	dateEnd	description	mechanism	mechanismTags	purposeTags	specialTags	metrics	referenceLink	images	createdBy	createdAt	status
seed_01	小遊戲挑戰送元流睡衣套裝	2026/06/18 10:00–06/30 23:59	2026-06-18	2026-06-30	完成小遊戲挑戰可獲得甜夢時光套裝（元流 7011、7012）。	2048 玩法，透過合併方塊累積分數達成關卡目標。	益智消除						歷史活動彙整	2026-06-18T00:00:00.000Z	seed
seed_02	源寶旅行日記	2026/01/30 14:00–02/06 23:59	2026-01-30	2026-02-06		玩家可進行「源寶旅行日記」創作，完成日記後累積進度並獲得對應獎勵。	任務養成						歷史活動彙整	2026-01-30T00:00:00.000Z	seed
seed_03	宮中一夢 × 請安大作戰	2026/02/19 14:00–03/18 23:59	2026-02-19	2026-03-18	完成聯動劇情任務可獲得聯動語音、回城特效、加速特效等聯動獎勵。	向皇上大聲請安，並躲過其他嬪妃的阻撓，考驗反應速度。	反應操作		IP聯動				歷史活動彙整	2026-02-19T00:00:00.000Z	seed
seed_04	新年祈福光明燈	2025/01/24 16:00–02/03 23:59	2025-01-24	2025-02-03		點擊各燈下方「去點燈」按鈕查看任務列表，完成任務累積福氣值（鈔能力燈可直接投入金幣點燈）。	任務養成		節慶檔期				歷史活動彙整	2025-01-24T00:00:00.000Z	seed
seed_05	女僕甜點店	2025/02/20 16:00–03/09 23:59	2025-02-20	2025-03-09	下發羊咩女僕頭像（valorpass9022）。	經營甜點店拿好禮！完成任務解鎖餐點種類，上架並獲取收益，兌換里程碑獎勵。	經營模擬						歷史活動彙整	2025-02-20T00:00:00.000Z	seed
seed_06	我要成為咒術師	2025/03/28 14:00–04/19 23:59	2025-03-28	2025-04-19	完成任務可得「吵死人了」永久表情。	式神大出擊：丟青蛙／爆打咒靈館：打地鼠／咒術電影院：觀影達指定時長領取禮包，開啟有機會獲得限時造型抵用券。	反應操作		IP聯動				歷史活動彙整	2025-03-28T00:00:00.000Z	seed
seed_07	夏日酥脆挑戰賽	2025/06/14 12:00–06/30 23:59	2025-06-14	2025-06-30	酥脆特派員造型（53008）。	摳糖餅、木頭人等反應類小遊戲玩法。	反應操作		節慶檔期				歷史活動彙整	2025-06-14T00:00:00.000Z	seed
seed_08	貓蟲鑑定送永久表情	2025/09/05 14:00–09/21 23:59	2025-09-05	2025-09-21	完成測驗送永久表情。	心理測驗形式，依作答結果分派鑑定結果。	心理測驗						歷史活動彙整	2025-09-05T00:00:00.000Z	seed
seed_09	紫苑食堂送週邊	2025/11/14 14:00–11/30 23:59	2025-11-14	2025-11-30	完成任務送實體週邊。	紫苑的料理日記：找出食材的完美比例。	經營模擬,益智消除						歷史活動彙整	2025-11-14T00:00:00.000Z	seed
seed_10	新年新希望！挑戰拿獎勵！	2025/12/27 14:00–2026/02/08 23:59	2025-12-27	2026-02-08	（新年）時光膠囊。	跨年檔期任務累積型玩法，開啟時光膠囊獲得獎勵。	任務養成		節慶檔期				歷史活動彙整	2025-12-27T00:00:00.000Z	seed
